time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(2, 8, 5, 'standard')",{},continuing,,,0.3567251461988304,0.6432748538011694
0.010447417,0.0392156862745098,1,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.010447417,0.0392156862745098,1,ConcederTBNegotiator@1,"(0, 2, 7, 'premium')",{},continuing,,,0.4385964912280701,0.5614035087719298
0.011265375,0.058823529411764705,2,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.011265375,0.058823529411764705,2,ConcederTBNegotiator@1,"(9, 8, 2, 'standard')",{},continuing,,,0.47368421052631576,0.5263157894736841
0.012117,0.0784313725490196,3,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012117,0.0784313725490196,3,ConcederTBNegotiator@1,"(2, 1, 7, 'premium')",{},continuing,,,0.5263157894736842,0.4736842105263157
0.0130265,0.09803921568627451,4,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.0130265,0.09803921568627451,4,ConcederTBNegotiator@1,"(4, 1, 6, 'premium')",{},continuing,,,0.5555555555555556,0.4444444444444444
0.013926583,0.11764705882352941,5,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.013926583,0.11764705882352941,5,ConcederTBNegotiator@1,"(7, 8, 3, 'basic')",{},continuing,,,0.5614035087719298,0.4385964912280701
0.014828792,0.13725490196078433,6,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.014828792,0.13725490196078433,6,ConcederTBNegotiator@1,"(2, 3, 8, 'standard')",{},continuing,,,0.5906432748538011,0.40935672514619875
0.015741583,0.1568627450980392,7,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.015741583,0.1568627450980392,7,ConcederTBNegotiator@1,"(2, 3, 5, 'basic')",{},continuing,,,0.6198830409356724,0.3801169590643274
0.016672792,0.17647058823529413,8,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.016672792,0.17647058823529413,8,ConcederTBNegotiator@1,"(5, 2, 9, 'premium')",{},continuing,,,0.6432748538011696,0.3567251461988304
0.017606083,0.19607843137254902,9,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.017606083,0.19607843137254902,9,ConcederTBNegotiator@1,"(2, 3, 6, 'basic')",{},continuing,,,0.6491228070175438,0.35087719298245607
0.0185515,0.21568627450980393,10,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.0185515,0.21568627450980393,10,ConcederTBNegotiator@1,"(5, 1, 2, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.019508625,0.23529411764705882,11,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.019508625,0.23529411764705882,11,ConcederTBNegotiator@1,"(5, 1, 2, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.020462542,0.2549019607843137,12,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.020462542,0.2549019607843137,12,ConcederTBNegotiator@1,"(9, 4, 9, 'premium')",{},continuing,,,0.7017543859649122,0.2982456140350877
0.021458,0.27450980392156865,13,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.021458,0.27450980392156865,13,ConcederTBNegotiator@1,"(7, 8, 8, 'basic')",{},continuing,,,0.7076023391812865,0.2923976608187134
0.022421792,0.29411764705882354,14,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.022421792,0.29411764705882354,14,ConcederTBNegotiator@1,"(8, 2, 9, 'premium')",{},continuing,,,0.7309941520467835,0.26900584795321636
0.023389208,0.3137254901960784,15,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.023389208,0.3137254901960784,15,ConcederTBNegotiator@1,"(2, 1, 7, 'basic')",{},continuing,,,0.7368421052631579,0.26315789473684204
0.024364792,0.3333333333333333,16,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.024364792,0.3333333333333333,16,ConcederTBNegotiator@1,"(2, 1, 7, 'basic')",{},continuing,,,0.7368421052631579,0.26315789473684204
0.025373292,0.35294117647058826,17,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.025373292,0.35294117647058826,17,ConcederTBNegotiator@1,"(2, 2, 9, 'basic')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.026373833,0.37254901960784315,18,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.026373833,0.37254901960784315,18,ConcederTBNegotiator@1,"(2, 2, 9, 'basic')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.027354,0.39215686274509803,19,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.027354,0.39215686274509803,19,ConcederTBNegotiator@1,"(2, 2, 9, 'basic')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.0283365,0.4117647058823529,20,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.0283365,0.4117647058823529,20,ConcederTBNegotiator@1,"(9, 1, 2, 'basic')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.029384417,0.43137254901960786,21,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.029384417,0.43137254901960786,21,ConcederTBNegotiator@1,"(9, 1, 2, 'basic')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.030394042,0.45098039215686275,22,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.030394042,0.45098039215686275,22,ConcederTBNegotiator@1,"(9, 1, 2, 'basic')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.031400625,0.47058823529411764,23,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.031400625,0.47058823529411764,23,ConcederTBNegotiator@1,"(7, 1, 5, 'basic')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.032413,0.49019607843137253,24,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.032413,0.49019607843137253,24,ConcederTBNegotiator@1,"(7, 1, 5, 'basic')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.033407583,0.5098039215686274,25,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.033407583,0.5098039215686274,25,ConcederTBNegotiator@1,"(7, 1, 5, 'basic')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.034420333,0.5294117647058824,26,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.034420333,0.5294117647058824,26,ConcederTBNegotiator@1,"(7, 1, 5, 'basic')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.035450875,0.5490196078431373,27,BoulwareTBNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.035450875,0.5490196078431373,27,ConcederTBNegotiator@1,"(8, 1, 5, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.03647825,0.5686274509803921,28,BoulwareTBNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.03647825,0.5686274509803921,28,ConcederTBNegotiator@1,"(8, 1, 5, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.037532,0.5882352941176471,29,BoulwareTBNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748539
0.037532,0.5882352941176471,29,ConcederTBNegotiator@1,"(8, 1, 5, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.038670125,0.6078431372549019,30,BoulwareTBNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748539
0.039702083,0.6274509803921569,31,ConcederTBNegotiator@1,"(8, 1, 5, 'basic')",{'ConcederTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.8538011695906432,0.14619883040935672
