time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.023252792,0.37254901960784315,18,ConcederTBNegotiator@1,"(3, 3, 8, 'basic')",{},continuing,,,0.5653755228223314,0.21986338025819635
0.024082792,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9803600654664483,0.04838709677419354
0.024082792,0.39215686274509803,19,ConcederTBNegotiator@1,"(8, 2, 6, 'standard')",{},continuing,,,0.6575741043826151,0.20967741935483872
0.024833042,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9803600654664483,0.04838709677419354
0.024833042,0.4117647058823529,20,ConcederTBNegotiator@1,"(6, 8, 9, 'basic')",{},continuing,,,0.6579378068739771,0.20060086989022213
0.025562333,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9803600654664483,0.04838709677419354
0.025562333,0.43137254901960786,21,ConcederTBNegotiator@1,"(6, 7, 9, 'basic')",{},continuing,,,0.6775777414075286,0.19110434239273444
0.026328792,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.026328792,0.45098039215686275,22,ConcederTBNegotiator@1,"(7, 6, 7, 'basic')",{},continuing,,,0.6282960538279688,0.18167354012991813
0.027063,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.027063,0.47058823529411764,23,ConcederTBNegotiator@1,"(8, 2, 5, 'basic')",{},continuing,,,0.6790325513729769,0.17293906810035842
0.027837292,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.027837292,0.49019607843137253,24,ConcederTBNegotiator@1,"(9, 4, 9, 'standard')",{},continuing,,,0.8756137479541735,0.1644540713339779
0.028586583,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9319876341152936,0.006272401433691762
0.028586583,0.5098039215686274,25,ConcederTBNegotiator@1,"(6, 4, 9, 'basic')",{},continuing,,,0.7364975450081833,0.15638955520494568
0.029355625,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(9, 5, 9, 'basic')",{},continuing,,,0.9214402618657936,0.09677419354838708
0.029355625,0.5294117647058824,26,ConcederTBNegotiator@1,"(7, 1, 5, 'basic')",{},continuing,,,0.6304782687761412,0.14874551971326164
0.030136792,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.912347699581742,0.0546594982078853
0.030136792,0.5490196078431373,27,ConcederTBNegotiator@1,"(9, 4, 6, 'basic')",{},continuing,,,0.7610474631751227,0.14026052294688116
0.030903292,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(9, 3, 9, 'standard')",{'GeniusBOABaselineNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.8952536824877251,0.1490748497922465
